Date,Open,High,Low,Close,Adj Close,Volume
2019-03-20,52.750000,53.500000,49.500000,49.799999,48.276268,2350800
2019-03-21,49.990002,50.000000,48.200001,48.980000,47.481358,1764700
2019-03-22,48.799999,49.950001,48.160000,48.599998,47.112984,844700
2019-03-25,48.599998,49.400002,48.000000,49.150002,47.646156,440900
2019-03-26,49.000000,49.750000,48.180000,48.849998,47.355335,504700
2019-03-27,49.000000,50.779999,49.000000,50.099998,48.567089,1788600
2019-03-28,50.900002,51.000000,49.915001,50.849998,49.294140,585400
2019-03-29,49.520000,52.480000,49.180000,51.630001,50.050278,1769000
2019-04-01,52.299999,54.389999,51.250000,53.500000,51.863060,19663400
2019-04-02,55.119999,57.389999,54.299999,56.250000,54.528919,17414200
2019-04-03,57.080002,57.200001,55.509998,56.880001,55.139641,15066200
2019-04-04,57.200001,60.520000,57.099998,59.709999,57.883049,13309200
2019-04-05,58.389999,58.980000,56.270000,57.240002,55.488628,17000800
2019-04-08,56.500000,58.389999,56.270000,57.150002,55.401382,10764600
2019-04-09,56.799999,57.200001,56.080002,56.270000,54.548306,9179900
2019-04-10,55.990002,56.410000,55.099998,55.709999,54.005440,9081900
2019-04-11,55.700001,56.209999,54.830002,54.889999,53.210529,7346100
2019-04-12,55.930000,58.330002,55.930000,58.299999,56.516193,9281700
2019-04-15,58.570000,58.849998,57.290001,57.779999,56.012104,5727300
2019-04-16,58.709999,58.990002,57.840000,58.500000,56.710075,6681600
2019-04-17,58.950001,59.049999,58.200001,58.320000,56.535583,6420700
2019-04-18,58.360001,58.610001,57.549999,57.770000,56.002411,5178800
2019-04-22,57.480000,58.410000,57.259998,57.889999,56.118740,4401700
2019-04-23,57.290001,57.840000,57.000000,57.639999,55.876385,5687200
2019-04-24,57.490002,57.889999,55.865002,55.980000,54.267178,5431300
2019-04-25,55.759998,55.980000,54.820000,55.330002,53.637070,6260500
2019-04-26,55.299999,55.599998,54.950001,55.250000,53.559513,4009800
2019-04-29,55.049999,55.685001,54.799999,55.500000,53.801865,5935200
2019-04-30,55.759998,57.205002,55.599998,56.730000,54.994232,6454100
2019-05-01,56.820000,57.480000,55.880001,56.130001,54.412590,7644400
2019-05-02,55.540001,56.490002,52.029999,52.700001,51.087536,13932700
2019-05-03,53.200001,53.349998,51.720001,53.299999,51.669178,7401700
2019-05-06,52.150002,54.029999,51.700001,53.459999,51.824280,6089500
2019-05-07,52.860001,53.325001,52.650002,52.950001,51.329891,7330800
2019-05-08,53.330002,53.395000,52.310001,52.480000,50.874268,5390700
2019-05-09,52.259998,53.139999,51.549999,52.930000,51.310501,4579700
2019-05-10,52.939999,53.714001,52.490002,53.070000,51.446217,4758100
2019-05-13,52.279999,52.549999,50.759998,50.950001,49.391083,4213100
2019-05-14,51.330002,53.000000,50.840000,52.480000,50.874268,4204500
2019-05-15,51.980000,53.325001,51.669998,52.950001,51.329891,2928700
2019-05-16,53.290001,53.549999,52.730000,52.980000,51.358971,3689700
2019-05-17,52.340000,52.520000,50.660000,50.799999,49.245670,4440800
2019-05-20,50.400002,50.540001,49.919998,50.080002,48.547703,5168400
2019-05-21,50.279999,51.189999,50.020000,50.630001,49.080875,4968400
2019-05-22,50.459999,50.610001,49.965000,50.209999,48.673725,3019100
2019-05-23,49.500000,49.860001,48.209999,48.709999,47.219620,4919200
2019-05-24,49.389999,49.575001,48.439999,49.200001,47.694630,2918900
2019-05-28,49.369999,49.430000,48.099998,48.560001,47.074211,6613000
2019-05-29,48.200001,49.430000,48.009998,48.709999,47.219620,3525900
2019-05-30,48.119999,48.590000,48.020000,48.470001,47.672047,3777600
2019-05-31,47.959999,48.000000,46.750000,46.759998,45.990196,3396900
2019-06-03,46.849998,47.959999,46.849998,47.959999,47.170441,5905200
2019-06-04,48.680000,49.930000,48.639999,49.930000,49.108009,7043000
2019-06-05,50.490002,50.570000,49.049999,50.340000,49.511261,6413300
2019-06-06,50.279999,51.310001,50.150002,51.060001,50.219406,6228100
2019-06-07,51.130001,51.689999,50.869999,51.299999,50.455456,5391100
2019-06-10,51.720001,52.099998,51.580002,51.619999,50.770187,5434400
2019-06-11,52.000000,52.169998,51.560001,52.040001,51.183273,5144300
2019-06-12,52.060001,52.639999,51.680000,52.490002,51.625866,3103900
2019-06-13,52.680000,52.950001,52.040001,52.880001,52.009445,4179800
2019-06-14,52.630001,52.689999,51.000000,51.150002,50.307926,3919300
2019-06-17,50.060001,50.330002,49.049999,49.349998,48.537556,5787300
2019-06-18,49.750000,50.570000,49.400002,49.610001,48.793278,5014200
2019-06-19,49.950001,50.240002,48.330002,48.500000,47.701550,5404000
2019-06-20,49.095001,49.590000,48.619999,48.930000,48.124474,4228300
2019-06-21,48.820000,49.270000,48.310001,48.360001,47.563858,9478500
2019-06-24,48.509998,49.700001,48.320000,49.580002,48.763775,4602300
2019-06-25,49.490002,50.223000,49.049999,49.689999,48.871960,4005200
2019-06-26,49.849998,51.220001,49.810001,50.450001,49.619450,5244400
2019-06-27,50.610001,51.139999,50.530998,50.910000,50.071877,4097200
2019-06-28,51.040001,51.200001,49.080002,49.310001,48.498219,6507400
2019-07-01,50.000000,50.200001,49.520000,50.160000,49.334221,4641700
2019-07-02,50.000000,50.060001,48.759998,49.400002,48.586735,4725800
2019-07-03,49.459999,49.650002,49.200001,49.330002,48.517887,2479400
2019-07-05,49.009998,49.369999,48.959999,49.310001,48.498219,2529800
